#,PSH Project Name,Developer,Address,CD,HCID Staff Assigned? Y/N,"Sub Stage
(Predevelopment, Loan Close, In Construction)",PEP,Homeless Population Served,HHH Project Award,Total Development Cost Approved in PEP,Updated Total Development Cost,TDC Per Unit,HHH Per Unit,Total Units,Total PSH Units,Construction Start Date Approved in PEP,Updated Constr. Start Date,NTP Issued,Est. Ready for Occupancy Date,Percent Complete,Received HHH Extension? Y/N,HHH Commitment Expiration,"HHH Commitment Expiration Date Plus Tolling Order
(April 17 - August 24)"
87,Marcella Gardens (68th & Main St.),Coalition for Responsible Community Development,6714 S MAIN ST CA 90003,9,true,Predevelopment,2018-19,"Homeless individuals
Homeless veterans
Homeless youth
Chronically homeless","12,000,000","$25,852,727","33,546,159","559,103","200,000",60,59,2018-12-08T00:00:00.000,11/16/2020,,11/18/2022,0,true,12/31/2020,
88,Berendo Sage,West Hollywood Community Housing Corporation,1035 S BERENDO ST CA 90006,1,true,Predevelopment,2019-20,"Homeless mental illness
Other homeless
Low income families
Chronically homeless","6,620,000","$24,813,981","26,831,039","638,834","157,619",42,21,2020-02-03T00:00:00.000,10/19/2020,,10/19/2022,0,false,10/19/2020,
89,Talisa (fka 9502 Van Nuys Blvd),Domus GP LLC,9502 N VAN NUYS BLVD CA 91402,6,true,Predevelopment,2019-20,"Homeless survivors of domestic 
violence & sex trafficking
Chronically homeless","10,560,000","$29,458,224","32,833,010","670,061","215,510",49,48,2020-04-01T00:00:00.000,04/16/2021,,04/14/2023,0,false,10/19/2020,
90,Adams Terrace,Abode Communities,4347 W ADAMS BLVD CA 90018,10,true,Predevelopment,2018-19,"Homeless individuals
Non homeless individuals
Chronically homeless","12,000,000","$42,363,034","59,896,501","696,471","139,535",86,43,2018-12-08T00:00:00.000,11/16/2020,,11/18/2022,0,true,12/31/2020,
91,Serenity (fka 923-937 Kenmore Ave),Domus GP LLC,923 S KENMORE AVE CA 90006,10,true,Predevelopment,2019-20,"Homeless senior
Chronically homeless","13,520,000","$37,551,673","47,500,000","633,333","180,267",75,74,2020-03-15T00:00:00.000,04/16/2021,,04/14/2023,0,false,10/19/2020,
92,Ingraham Villa Apartments,"Ingraham Apartments, L.P.",1218 W INGRAHAM ST CA 90017,1,true,Predevelopment,2019-20,"Homeless veterans
Homeless mental illness
Non homeless individuals
Chronically homeless","12,000,000","$52,472,377","61,581,000","508,934","99,174",121,90,2020-05-01T00:00:00.000,12/23/2020,,12/23/2022,0,true,12/31/2020,
93,Depot at Hyde Park,"GTM Holdings, LLC; Women Organizing Resources, Knowledge and Services (""WORKS"")",6527 S CRENSHAW BLVD CA 90043,8,true,Predevelopment,2018-19,"Homeless families
Homeless individuals
Chronically homeless","8,160,000","$23,256,685","29,366,463","682,941","189,767",43,33,2019-01-01T00:00:00.000,04/01/2021,,04/03/2023,0,true,08/16/2020,
94,Reseda Theater Senior Housing (Canby Woods West),"Thomas Safran and Associates Development, Inc.",7221 N CANBY AVE CA 91335,3,true,Predevelopment,2019-20,"Homeless senior
Formerly homeless senior
Chronically homeless","4,060,000","$11,682,549","16,263,383","625,515","156,154",26,13,2020-02-15T00:00:00.000,11/16/2020,,11/18/2022,0,false,10/19/2020,
95,Bryson II,Los Angeles Housing Partnership; The Richman Group of California Development Company,2701 W WILSHIRE BLVD CA 90057,1,true,Predevelopment,2019-20,"Homeless individuals
Low income families
Chronically homeless","10,060,000","$22,518,068","34,079,355","532,490","157,188",64,47,2020-01-13T00:00:00.000,04/01/2021,,04/03/2023,0,true,12/31/2020,
96,Ruth Teague Homes (fka 67th & Main),Coalition for Responsible Community Development,6706 S MAIN ST CA 90003,9,true,Predevelopment,2019-20,"Homeless veterans
Homeless youth
Low income families
Chronically homeless","7,180,000","$29,439,693","32,422,000","623,500","138,077",52,26,2019-12-01T00:00:00.000,01/15/2021,,01/13/2023,0,true,12/31/2020,
97,Mariposa Lily,West Hollywood Community Housing Corporation,1055 S MARIPOSA AVE CA 90006,1,true,Predevelopment,2019-20,"Homeless families
Homeless individuals
Low income families
Non homeless individuals
Chronically homeless","5,120,000","$24,643,963","25,477,548","621,404","124,878",41,20,2020-06-01T00:00:00.000,04/16/2021,,04/14/2023,0,false,03/19/2021,
98,Deepwater,LINC Community Development Corporation,1424 N DEEPWATER AVE CA 90744,15,true,Predevelopment,2019-20,"Homeless individuals
Chronically homeless","12,100,000","$28,277,269","28,277,269","504,951","216,071",56,55,2020-04-01T00:00:00.000,07/09/2021,,07/07/2023,0,false,10/19/2020,
99,Main Street Apartments,"Highridge Costa Development Company, LLC",5501 S MAIN ST CA 90037,9,true,Predevelopment,2019-20,"Homeless families
Homeless veterans
Chronically homeless","8,512,000","$32,824,507","33,187,280","582,233","149,333",57,56,2020-03-15T00:00:00.000,04/16/2021,,04/14/2023,0,false,10/19/2020,
100,Sun Commons,"Abbey Road, Inc.",6329 N CLYBOURN AVE CA 91606,2,true,Predevelopment,2019-20,"Homeless families
Homeless individuals
Low income families
Non homeless individuals
Chronically homeless","12,000,000","$57,171,909","56,659,630","550,093","116,505",103,51,2020-02-24T00:00:00.000,12/28/2020,,07/29/2022,0,true,12/31/2020,
101,Montecito II Senior Housing,"Thomas Safran and Associates Development, Inc.","6668 W FRANKLIN AVE  HOLLYWOOD, CA 90028",13,true,Predevelopment,2019-20,"Homeless senior
Formerly homeless senior
Chronically homeless","10,140,000","$35,363,674","35,385,567","552,899","158,438",64,32,2020-02-15T00:00:00.000,11/15/2021,,11/15/2023,0,false,10/19/2020,
102,PATH Villas Hollywood,PATH Ventures,"5627 W FERNWOOD AVE  HOLLYWOOD, CA 90028",13,true,Predevelopment,2018-19,"Homeless individuals
Chronically homeless","12,320,000","$33,769,951","41,337,445","688,957","205,333",60,59,2019-06-19T00:00:00.000,01/30/2021,,01/30/2023,0,true,12/31/2020,
103,Colorado East,DDCM Incorporated; RCC MGP LLC,2451 W COLORADO BLVD CA 90041,14,true,Predevelopment,2019-20,"Other homeless
Chornically homeless","8,800,000","$22,149,944","27,638,827","674,118","214,634",41,20,2019-08-01T00:00:00.000,09/28/2020,,09/28/2022,0,false,03/19/2021,
104,803 E. 5th St,Coalition for Responsible Community Development,803 E 5TH ST CA 90013,14,true,Predevelopment,2019-20,"Homeless individuals
Homeless veterans
Homeless youth
Chronically homeless","15,120,000","$37,960,970","56,761,234","597,487","159,158",95,94,2020-01-31T00:00:00.000,07/09/2021,,07/07/2023,0,false,03/19/2021,
105,Weingart Tower (HHH PSH 1A),"Chelsea Investment Corporation; Weingart Tower, LP",555 1/2 S CROCKER ST CA 90013,14,true,Predevelopment,2019-20,"Homeless individuals
Non homeless individuals
Chronically homeless","16,000,000","$67,069,625","71,535,750","533,849","119,403",134,106,2020-04-17T00:00:00.000,07/09/2021,,07/07/2023,0,true,06/30/2021,
106,Weingart Tower II (HHH PSH 1A),"Chelsea Investment Corporation; Weingart Tower II, LP",555 1/2 S CROCKER ST CA 90013,14,true,Predevelopment,2019-20,"Homeless individuals
Non homeless individuals
Chronically homeless","16,000,000","$83,157,120","76,496,899","531,228","111,111",144,122,2020-04-17T00:00:00.000,07/09/2021,,07/07/2023,0,true,06/30/2021,
107,Solaris Apartments (fka 1141-1145 Crenshaw Blvd),Domus GP LLC,1141 S CRENSHAW BLVD CA 90019,10,true,Predevelopment,2019-20,"Homeless survivors of domestic 
violence & sex trafficking
Chronically homeless","9,240,000","$24,403,352","24,403,352","567,520","214,884",43,42,2020-04-01T00:00:00.000,07/09/2021,,07/07/2023,0,false,10/19/2020,
108,The Pointe on La Brea,EAH Inc,843 N LA BREA AVE CA 90038,5,true,Predevelopment,2019-20,"Homeless individuals
Chronically homeless","8,624,000","$25,785,374","32,371,356","647,427","172,480",50,49,2020-03-15T00:00:00.000,07/09/2021,,07/07/2023,0,false,10/19/2020,
109,Asante Apartments,"Affirmed Housing Group, Inc.",11001 S BROADWAY CA 90061,8,true,Predevelopment,2019-20,"Homeless individuals
Chronically homeless","11,880,000","$28,204,968","28,544,185","518,985","216,000",55,54,2020-02-01T00:00:00.000,07/09/2021,,07/07/2023,0,false,03/19/2021,
110,Southside Seniors,"Innovative Housing Opportunities; John Stanley, Inc.; Concerned Citizens Community Involvement",1655 W MANCHESTER AVE CA 90047,8,false,Predevelopment,2019-20,"Homeless senior
Low income senior
Chronically homeless","9,220,000","$23,401,907","23,301,907","466,038","184,400",50,36,2020-03-15T00:00:00.000,08/02/2021,,08/01/2023,0,false,10/19/2020,
111,The Brine Residential,Decro Corporation,1829 N HANCOCK ST CA 90031,1,false,Predevelopment,2019-20,"Homeless senior
Homeless veterans
Homeless youth
Homeless survivors of domestic 
violence & sex trafficking
Single mother veterans","11,560,000","$44,821,687","44,821,687","462,079","119,175",97,49,2020-04-01T00:00:00.000,08/02/2021,,08/01/2023,0,false,10/19/2020,
